id,reco1,reco2,reco3,reco4,reco5,reco6,reco7,reco8,reco9,reco10
1,228,978,2242,641,357,1715,512,2160,2183,4
2,1476,182,1112,1783,1245,135,836,89,1246,548
3,1124,2426,713,284,1977,1549,1666,2047,2163,1985
4,2242,1918,207,2160,1034,1197,266,1,386,9
5,429,94,1005,1006,1007,224,245,533,1942,989
6,1199,565,993,567,1118,1806,1151,1146,1032,1040
7,178,722,243,693,935,129,1290,1498,1501,259
8,228,1943,2164,492,1197,88,2325,232,884,377
9,1918,1506,1743,2665,1798,1061,2742,911,70,60
10,134,2604,410,2275,2285,305,409,306,221,2006
11,219,1609,2324,369,2300,1153,2026,462,2281,1769
12,512,1765,683,2547,1683,568,2063,2559,235,946
13,585,1999,138,1794,818,1819,1439,1416,662,664
14,942,908,931,1257,934,504,2488,1440,805,305
15,90,38,1745,677,27,1072,1463,1461,1462,1065
16,39,2195,637,1778,251,1439,1670,1724,1851,1030
17,212,1313,31,1012,67,1163,2003,1887,32,414
18,814,2210,1865,1025,1438,231,414,1247,1007,167
19,31,715,348,1675,2118,417,1566,2017,2744,1672
20,2328,47,774,1548,584,1547,1546,148,779,577
21,739,1053,591,94,348,733,244,1570,1430,466
22,566,2038,2395,2494,2450,222,1896,10,28,2677
23,29,617,2102,2061,652,2343,1999,714,2121,2199
24,2383,148,589,1607,1603,2357,2360,1601,1604,1602
25,1643,923,238,172,259,129,1373,211,962,2260
26,236,252,1660,2457,1980,275,832,138,1794,1863
27,1745,90,38,15,1883,277,652,189,1167,1350
28,1351,567,2494,1896,228,22,111,63,422,2024
29,23,1208,498,617,2624,485,2146,360,8,1455
30,870,1013,822,63,360,334,2190,13,2242,1999
31,426,19,348,1675,64,2118,2017,417,1672,112
32,1934,98,436,1730,119,1313,22,216,612,199
33,112,196,31,297,1238,1761,1750,1982,567,198
34,78,80,379,1965,1966,195,1964,1073,2667,59
35,1008,2195,1214,191,362,86,178,148,552,334
36,102,788,656,1064,993,1118,1342,565,1259,466
37,1775,2621,884,910,275,1624,1905,1251,1191,1221
38,1707,1873,1745,27,1763,504,15,90,1126,2604
39,16,1778,637,2592,2195,811,251,1439,94,441
40,994,646,2606,2353,611,416,1347,428,565,596
41,601,1083,603,1082,605,1084,599,600,1078,604
42,423,2484,546,1656,93,648,1352,1969,693,1302
43,2107,2382,2335,1810,2054,2429,2085,2399,2408,1761
44,52,317,322,50,497,97,48,172,2201,47
45,1010,1004,1003,52,48,711,44,580,497,1733
46,426,64,1555,1552,1554,571,2658,333,1205,652
47,2328,774,1548,1547,584,148,1546,577,586,20
48,97,1932,1409,1284,787,722,52,1061,2555,840
49,1289,305,1322,854,1109,774,1856,1106,637,1873
50,322,317,2328,47,148,1152,1153,774,69,1548
51,2102,129,2194,1129,399,273,722,1131,1130,2095
52,44,75,76,2555,48,740,741,722,2104,1932
53,465,3,1544,15,677,462,284,2168,334,380
54,2735,2651,2660,204,965,863,2463,365,810,1019
55,1838,834,245,1260,769,1441,1442,1431,1437,113
56,188,1032,1064,1146,1040,744,743,1151,1148,1142
57,13,64,2146,426,283,164,1925,135,1555,2678
58,1024,712,96,717,713,766,711,787,91,718
59,2650,640,642,1322,2621,879,37,1827,1096,884
60,911,339,338,1918,1743,340,1953,1506,1798,1634
61,112,216,119,110,436,1313,94,184,1506,1946
62,229,356,1347,681,679,23,235,652,714,1583
63,422,567,566,1233,357,228,281,341,266,1918
64,426,1555,1552,1554,593,2327,46,571,2658,31
65,1937,1942,434,433,435,403,570,404,224,1005
66,509,2654,2437,2436,520,2674,445,606,2190,2655
67,1820,210,2089,1957,1883,1179,414,1163,1313,2091
68,809,1997,815,893,697,695,259,722,1290,129
69,467,1152,1153,137,1870,234,130,50,2555,2740
70,1873,221,1707,305,1029,9,504,38,1440,14
71,2646,2136,576,2498,1306,422,1959,1099,1118,102
72,1657,2295,1010,1004,1003,1387,472,1102,899,2405
73,1644,2380,1116,6,590,138,1276,432,16,2267
74,1875,101,1173,1178,1177,469,513,1222,1175,1224
75,76,395,390,396,389,2177,391,394,452,2665
76,76,395,390,396,389,2177,391,394,452,2665
77,1873,1763,1707,1289,937,805,1126,504,2604,38
78,80,34,1965,1966,1964,2328,95,96,144,774
79,290,2500,1176,488,2549,915,1688,378,1251,506
80,80,34,1965,1966,1964,2328,95,96,144,774
